"country_name";"iso3";"Land area (sq. km)"
"Aruba";"ABW";180
"Africa Eastern and Southern";"AFE";14845090.094
"Afghanistan";"AFG";652230
"Africa Western and Central";"AFW";9045773
"Angola";"AGO";1246700
"Albania";"ALB";27400
"Andorra";"AND";470
"Arab World";"ARB";13100549
"United Arab Emirates";"ARE";71020
"Argentina";"ARG";2736690
"Armenia";"ARM";28470
"American Samoa";"ASM";200
"Antigua and Barbuda";"ATG";440
"Australia";"AUS";7692020
"Austria";"AUT";82520
"Azerbaijan";"AZE";82646
"Burundi";"BDI";25680
"Belgium";"BEL";30280
"Benin";"BEN";112760
"Burkina Faso";"BFA";273600
"Bangladesh";"BGD";130170
"Bulgaria";"BGR";108560
"Bahrain";"BHR";785
"Bahamas, The";"BHS";10010
"Bosnia and Herzegovina";"BIH";51200
"Belarus";"BLR";202980
"Belize";"BLZ";22810
"Bermuda";"BMU";54
"Bolivia";"BOL";1083300
"Brazil";"BRA";8358140
"Barbados";"BRB";430
"Brunei Darussalam";"BRN";5270
"Bhutan";"BTN";38140
"Botswana";"BWA";566730
"Central African Republic";"CAF";622980
"Canada";"CAN";8965590
"Central Europe and the Baltics";"CEB";1105004.93
"Switzerland";"CHE";39509.63
"Channel Islands";"CHI";198
"Chile";"CHL";743532
"China";"CHN";9388210
"Cote d'Ivoire";"CIV";318000
"Cameroon";"CMR";472710
"Congo, Dem. Rep.";"COD";2267050
"Congo, Rep.";"COG";341500
"Colombia";"COL";1109500
"Comoros";"COM";1861
"Cabo Verde";"CPV";4030
"Costa Rica";"CRI";51060
"Caribbean small states";"CSS";404850
"Cuba";"CUB";103800
"Curacao";"CUW";444
"Cayman Islands";"CYM";240
"Cyprus";"CYP";9240
"Czechia";"CZE";77198.53
"Germany";"DEU";349390
"Djibouti";"DJI";23180
"Dominica";"DMA";750
"Denmark";"DNK";40000
"Dominican Republic";"DOM";47531
"Algeria";"DZA";2381741
"East Asia & Pacific (excluding high income)";"EAP";15986534.803
"Early-demographic dividend";"EAR";33309874.265
"East Asia & Pacific";"EAS";24469416.703
"Europe & Central Asia (excluding high income)";"ECA";22393160.6
"Europe & Central Asia";"ECS";27440570.424
"Ecuador";"ECU";248360
"Egypt, Arab Rep.";"EGY";995450
"Euro area";"EMU";2679977.105
"Eritrea";"ERI";121040.829
"Spain";"ESP";499556.645
"Estonia";"EST";42750
"Ethiopia";"ETH";1128571.265
"European Union";"EUU";3996449.167
"Fragile and conflict affected situations";"FCS";20454301.094
"Finland";"FIN";303940
"Fiji";"FJI";18270
"France";"FRA";547557
"Faroe Islands";"FRO";1366
"Micronesia, Fed. Sts.";"FSM";700
"Gabon";"GAB";257670
"United Kingdom";"GBR";241930
"Georgia";"GEO";69490
"Ghana";"GHA";227533
"Gibraltar";"GIB";10
"Guinea";"GIN";245720
"Gambia, The";"GMB";10120
"Guinea-Bissau";"GNB";28120
"Equatorial Guinea";"GNQ";28050
"Greece";"GRC";128900
"Grenada";"GRD";340
"Greenland";"GRL";410450
"Guatemala";"GTM";107160
"Guam";"GUM";540
"Guyana";"GUY";196850
"High income";"HIC";35443200.724
"Hong Kong SAR, China";"HKG";1050
"Honduras";"HND";111890
"Heavily indebted poor countries (HIPC)";"HPC";19394766.094
"Croatia";"HRV";55960
"Haiti";"HTI";27560
"Hungary";"HUN";91260
"IBRD only";"IBD";70965228.403
"IDA & IBRD total";"IBT";96053974.497
"IDA total";"IDA";25088746.094
"IDA blend";"IDB";4384620
"Indonesia";"IDN";1877519
"IDA only";"IDX";20704126.094
"Isle of Man";"IMN";570
"India";"IND";2973190
"Not classified";"INX";
"Ireland";"IRL";68890
"Iran, Islamic Rep.";"IRN";1622500
"Iraq";"IRQ";434128
"Iceland";"ISL";100830
"Israel";"ISR";21640
"Italy";"ITA";295717
"Jamaica";"JAM";10830
"Jordan";"JOR";88794
"Japan";"JPN";364500
"Kazakhstan";"KAZ";2699700
"Kenya";"KEN";569140
"Kyrgyz Republic";"KGZ";191800
"Cambodia";"KHM";176520
"Kiribati";"KIR";810
"St. Kitts and Nevis";"KNA";260
"Korea, Rep.";"KOR";97600
"Kuwait";"KWT";17820
"Latin America & Caribbean (excluding high income)";"LAC";17939031
"Lao PDR";"LAO";230800
"Lebanon";"LBN";10230
"Liberia";"LBR";96320
"Libya";"LBY";1759540
"St. Lucia";"LCA";610
"Latin America & Caribbean";"LCN";20038201
"Least developed countries: UN classification";"LDC";20398133.094
"Low income";"LIC";14745302.094
"Liechtenstein";"LIE";160
"Sri Lanka";"LKA";61860
"Lower middle income";"LMC";24014684.803
"Low & middle income";"LMY";93614092.497
"Lesotho";"LSO";30360
"Late-demographic dividend";"LTE";44521586.403
"Lithuania";"LTU";62620
"Luxembourg";"LUX";2574.46
"Latvia";"LVA";62230
"Macao SAR, China";"MAC";32.9
"St. Martin (French part)";"MAF";50
"Morocco";"MAR";446300
"Monaco";"MCO";2.027
"Moldova";"MDA";32884.6
"Madagascar";"MDG";581800
"Maldives";"MDV";300
"Middle East & North Africa";"MEA";11217108
"Mexico";"MEX";1943950
"Marshall Islands";"MHL";180
"Middle income";"MIC";78868790.403
"North Macedonia";"MKD";25220
"Mali";"MLI";1220190
"Malta";"MLT";320
"Myanmar";"MMR";652670
"Middle East & North Africa (excluding high income)";"MNA";8634843
"Montenegro";"MNE";13450
"Mongolia";"MNG";1557506.803
"Northern Mariana Islands";"MNP";460
"Mozambique";"MOZ";786380
"Mauritania";"MRT";1030700
"Mauritius";"MUS";1997
"Malawi";"MWI";94280
"Malaysia";"MYS";328550
"North America";"NAC";18113064
"Namibia";"NAM";823290
"New Caledonia";"NCL";18280
"Niger";"NER";1266700
"Nigeria";"NGA";910770
"Nicaragua";"NIC";120340
"Netherlands";"NLD";33670
"Norway";"NOR";364285
"Nepal";"NPL";143350
"Nauru";"NRU";20
"New Zealand";"NZL";263310
"OECD members";"OED";35508595.797
"Oman";"OMN";309500
"Other small states";"OSS";2031533
"Pakistan";"PAK";770880
"Panama";"PAN";74180
"Peru";"PER";1280000
"Philippines";"PHL";298170
"Palau";"PLW";460
"Papua New Guinea";"PNG";452860
"Poland";"POL";306130
"Pre-demographic dividend";"PRE";20308679.829
"Puerto Rico";"PRI";8870
"Korea, Dem. People's Rep.";"PRK";120410
"Portugal";"PRT";91605.6
"Paraguay";"PRY";397300
"West Bank and Gaza";"PSE";6020
"Pacific island small states";"PSS";64150
"Post-demographic dividend";"PST";31345264.697
"French Polynesia";"PYF";3471
"Qatar";"QAT";11490
"Romania";"ROU";230080
"Russian Federation";"RUS";16376870
"Rwanda";"RWA";24670
"South Asia";"SAS";4770120
"Saudi Arabia";"SAU";2149690
"Sudan";"SDN";1868000
"Senegal";"SEN";192530
"Singapore";"SGP";718
"Solomon Islands";"SLB";27990
"Sierra Leone";"SLE";72180
"El Salvador";"SLV";20720
"San Marino";"SMR";60
"Somalia";"SOM";627340
"Serbia";"SRB";84090
"Sub-Saharan Africa (excluding high income)";"SSA";23890403.094
"South Sudan";"SSD";631930
"Sub-Saharan Africa";"SSF";23890863.094
"Small states";"SST";2500533
"Sao Tome and Principe";"STP";960
"Suriname";"SUR";156000
"Slovak Republic";"SVK";48080
"Slovenia";"SVN";20136.4
"Sweden";"SWE";407283.532
"Eswatini";"SWZ";17200
"Sint Maarten (Dutch part)";"SXM";34
"Seychelles";"SYC";460
"Syrian Arab Republic";"SYR";183630
"Turks and Caicos Islands";"TCA";950
"Chad";"TCD";1259200
"East Asia & Pacific (IDA & IBRD countries)";"TEA";15866144.803
"Europe & Central Asia (IDA & IBRD countries)";"TEC";22985330.6
"Togo";"TGO";54390
"Thailand";"THA";510890
"Tajikistan";"TJK";138790
"Turkmenistan";"TKM";469930
"Latin America & the Caribbean (IDA & IBRD countries)";"TLA";19912693
"Timor-Leste";"TLS";14870
"Middle East & North Africa (IDA & IBRD countries)";"TMN";8628823
"Tonga";"TON";720
"South Asia (IDA & IBRD)";"TSA";4770120
